"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"50",1577,18178,14440,50,"14440_41_50_51","Eastern Boreal Floodplain","Hardwood",NA,581,312,203,NA,35,65,"V-A",69,69,156,0.270588235,0.270588235,0.611764706,4043,0
"51",1578,8994,14660,50,"14660_50_51","Great Lakes Wooded Dune and Swale","Riparian",3715,536,NA,468,13,87,NA,"V-A",181,0,0,0.709803922,0,0,2000,0
"52",1580,37579,14750,50,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",NA,435,68,59,NA,14,86,"III-A",122,143,245,0.478431373,0.560784314,0.960784314,8357,0
"53",1584,41414,14920,50,"14920_41_50_51_52_63","Great Lakes Coastal Marsh Systems","Riparian",NA,NA,NA,NA,NA,NA,NA,NA,122,245,202,0.478431373,0.960784314,0.792156863,9210,0
"54",1586,29956,14940,50,"14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",18,NA,NA,18,100,NA,NA,"II-C",0,168,107,0,0.658823529,0.419607843,6662,0
"55",1588,10,13022,41,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood",2040,NA,NA,2040,100,NA,NA,"V-B",76,230,0,0.298039216,0.901960784,0,2,0
"56",1593,9,13440,41,"13440_41","Boreal Jack Pine-Black Spruce Forest","Conifer",82,NA,NA,82,100,NA,NA,"IV-A",255,140,140,1,0.549019608,0.549019608,2,0
"57",1598,728,13653,41,"13653_41","Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch","Conifer",112,243,NA,76,68,32,NA,"III-A",255,255,145,1,1,0.568627451,162,0
"58",1605,3139,14440,41,"14440_41_50_51","Eastern Boreal Floodplain","Hardwood",NA,581,312,203,NA,35,65,"V-A",69,69,156,0.270588235,0.270588235,0.611764706,698,0
"59",1607,98,14750,41,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",NA,435,68,59,NA,14,86,"III-A",122,143,245,0.478431373,0.560784314,0.960784314,22,0
"60",1608,38474,14770,41,"14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,NA,123,105,15,NA,85,"III-B",106,0,138,0.415686275,0,0.541176471,8556,0
"61",1610,61509,14810,41,"14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Riparian",989,NA,NA,989,100,NA,NA,"V-B",232,189,255,0.909803922,0.741176471,1,13679,0
"62",1611,2057,14920,41,"14920_41_50_51_52_63","Great Lakes Coastal Marsh Systems","Riparian",NA,NA,NA,NA,NA,NA,NA,NA,122,245,202,0.478431373,0.960784314,0.792156863,457,0
"63",1613,3812,14940,41,"14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",18,NA,NA,18,100,NA,NA,"II-C",0,168,107,0,0.658823529,0.419607843,848,0
"64",1634,62255,14660,51,"14660_50_51","Great Lakes Wooded Dune and Swale","Riparian",3715,536,NA,468,13,87,NA,"V-A",181,0,0,0.709803922,0,0,13845,0
"65",1641,11957,14940,51,"14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",18,NA,NA,18,100,NA,NA,"II-C",0,168,107,0,0.658823529,0.419607843,2659,0
"66",1966,19945,13110,52,"13110_52","North-Central Interior Dry Oak Forest and Woodland","Hardwood",149,151,11,9,6,6,88,"I-B",179,207,143,0.701960784,0.811764706,0.560784314,4436,0
"67",1968,15092,13940,52,"13940_52","North-Central Interior Oak Savanna","Hardwood",552,187,5,5,1,3,96,"I-A",230,213,138,0.901960784,0.835294118,0.541176471,3356,0
"68",1970,17480,14110,52,"14110_49_51_52","Great Lakes Wet-Mesic Lakeplain Prairie","Riparian",24,NA,NA,24,100,NA,NA,"II-C",235,255,0,0.921568627,1,0,3887,0
"69",1972,237,14210,52,"14210_49_52","Central Tallgrass Prairie","Grassland",4,NA,NA,4,100,NA,NA,"II-A",232,255,196,0.909803922,1,0.768627451,53,0
"70",1973,50451,14710,52,"14710_49_52","Central Interior and Appalachian Floodplain Systems","Riparian",NA,426,68,59,NA,14,86,"III-A",0,191,176,0,0.749019608,0.690196078,11220,0
"71",1975,57602,14920,52,"14920_41_50_51_52_63","Great Lakes Coastal Marsh Systems","Riparian",NA,NA,NA,NA,NA,NA,NA,NA,122,245,202,0.478431373,0.960784314,0.792156863,12810,0
"72",1976,12187,14930,52,"14930_52_62","Central Interior and Appalachian Shrub-Herbaceous Wetland Systems","Riparian",17,NA,NA,17,100,NA,NA,"II-C",240,150,20,0.941176471,0.588235294,0.078431373,2710,0
"73",1977,72685,15180,52,"15180_43_47_49_52_62_63_64_65","North-Central Interior Wet Flatwoods","Hardwood",993,NA,NA,993,100,NA,NA,"V-B",211,237,38,0.82745098,0.929411765,0.149019608,16165,0
"74",2018,26761,13110,49,"13110_49","North-Central Interior Dry Oak Forest and Woodland","Hardwood",149,149,11,9,7,6,87,"I-B",179,207,143,0.701960784,0.811764706,0.560784314,5952,0
"75",2019,29975,13130,49,"13130_49_52_62","North-Central Interior Beech-Maple Forest","Hardwood",1026,NA,852,465,45,NA,55,"V-A",0,156,44,0,0.611764706,0.17254902,6666,0
"76",2020,17762,13140,49,"13140_49","North-Central Interior Maple-Basswood Forest","Hardwood",1030,NA,845,464,45,NA,55,"V-A",237,161,102,0.929411765,0.631372549,0.4,3950,0
"77",2024,240,13940,49,"13940_44_49","North-Central Interior Oak Savanna","Hardwood",550,189,5,5,1,3,96,"I-A",230,213,138,0.901960784,0.835294118,0.541176471,53,0
"78",2028,7,14120,49,"14120_49","North-Central Interior Sand and Gravel Tallgrass Prairie","Grassland",4,NA,87,3,96,NA,4,"II-A",214,0,157,0.839215686,0,0.615686275,2,0
"79",2031,59340,14660,49,"14660_49","Great Lakes Wooded Dune and Swale","Riparian",2663,533,NA,444,17,83,NA,"V-A",181,0,0,0.709803922,0,0,13197,0
"80",2033,16070,14710,49,"14710_49_52","Central Interior and Appalachian Floodplain Systems","Riparian",NA,426,68,59,NA,14,86,"III-A",0,191,176,0,0.749019608,0.690196078,3574,0
"81",2034,13690,14720,49,"14720_49","Central Interior and Appalachian Riparian Systems","Riparian",996,NA,198,165,17,NA,83,"III-B",36,255,20,0.141176471,1,0.078431373,3045,0
"82",2036,191,15180,49,"15180_43_47_49_52_62_63_64_65","North-Central Interior Wet Flatwoods","Hardwood",993,NA,NA,993,100,NA,NA,"V-B",211,237,38,0.82745098,0.929411765,0.149019608,42,0
